<https://info.internet.org/en/>;rel="original"
,<http://web.archive.org/web/20151128012459/https://info.internet.org/en>;rel="memento first"; datetime="Sat, 28 Nov 2015 01:24:59 GMT"
,<http://web.archive.org/web/20151128012500/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 28 Nov 2015 01:25:00 GMT"
,<http://web.archive.org/web/20151209155302/https://info.internet.org/en>;rel="memento"; datetime="Wed, 09 Dec 2015 15:53:02 GMT"
,<http://web.archive.org/web/20151209155304/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 09 Dec 2015 15:53:04 GMT"
,<http://web.archive.org/web/20151209155315/http://info.internet.org/en>;rel="memento"; datetime="Wed, 09 Dec 2015 15:53:15 GMT"
,<http://web.archive.org/web/20151210044257/https://info.internet.org/en>;rel="memento"; datetime="Thu, 10 Dec 2015 04:42:57 GMT"
,<http://web.archive.org/web/20151210044259/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 10 Dec 2015 04:42:59 GMT"
,<http://web.archive.org/web/20151210044319/http://info.internet.org/en>;rel="memento"; datetime="Thu, 10 Dec 2015 04:43:19 GMT"
,<http://web.archive.org/web/20151210085255/https://info.internet.org/en>;rel="memento"; datetime="Thu, 10 Dec 2015 08:52:55 GMT"
,<http://web.archive.org/web/20151210085256/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 10 Dec 2015 08:52:56 GMT"
,<http://web.archive.org/web/20151210104921/https://info.internet.org/en>;rel="memento"; datetime="Thu, 10 Dec 2015 10:49:21 GMT"
,<http://web.archive.org/web/20151210104923/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 10 Dec 2015 10:49:23 GMT"
,<http://web.archive.org/web/20151210122717/https://info.internet.org/en>;rel="memento"; datetime="Thu, 10 Dec 2015 12:27:17 GMT"
,<http://web.archive.org/web/20151210122718/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 10 Dec 2015 12:27:18 GMT"
,<http://web.archive.org/web/20151210122724/http://info.internet.org/en>;rel="memento"; datetime="Thu, 10 Dec 2015 12:27:24 GMT"
,<http://web.archive.org/web/20151211001731/https://info.internet.org/en>;rel="memento"; datetime="Fri, 11 Dec 2015 00:17:31 GMT"
,<http://web.archive.org/web/20151211001732/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 11 Dec 2015 00:17:32 GMT"
,<http://web.archive.org/web/20151211001739/http://info.internet.org/en>;rel="memento"; datetime="Fri, 11 Dec 2015 00:17:39 GMT"
,<http://web.archive.org/web/20151211092025/https://info.internet.org/en>;rel="memento"; datetime="Fri, 11 Dec 2015 09:20:25 GMT"
,<http://web.archive.org/web/20151211092026/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 11 Dec 2015 09:20:26 GMT"
,<http://web.archive.org/web/20151211092036/http://info.internet.org/en>;rel="memento"; datetime="Fri, 11 Dec 2015 09:20:36 GMT"
,<http://web.archive.org/web/20151211121440/https://info.internet.org/en>;rel="memento"; datetime="Fri, 11 Dec 2015 12:14:40 GMT"
,<http://web.archive.org/web/20151211121441/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 11 Dec 2015 12:14:41 GMT"
,<http://web.archive.org/web/20151211140502/https://info.internet.org/en>;rel="memento"; datetime="Fri, 11 Dec 2015 14:05:02 GMT"
,<http://web.archive.org/web/20151211140503/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 11 Dec 2015 14:05:03 GMT"
,<http://web.archive.org/web/20151211140509/http://info.internet.org/en>;rel="memento"; datetime="Fri, 11 Dec 2015 14:05:09 GMT"
,<http://web.archive.org/web/20151212102623/https://info.internet.org/en>;rel="memento"; datetime="Sat, 12 Dec 2015 10:26:23 GMT"
,<http://web.archive.org/web/20151212102624/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 12 Dec 2015 10:26:24 GMT"
,<http://web.archive.org/web/20151212114858/https://info.internet.org/en>;rel="memento"; datetime="Sat, 12 Dec 2015 11:48:58 GMT"
,<http://web.archive.org/web/20151212114900/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 12 Dec 2015 11:49:00 GMT"
,<http://web.archive.org/web/20151212114906/http://info.internet.org/en>;rel="memento"; datetime="Sat, 12 Dec 2015 11:49:06 GMT"
,<http://web.archive.org/web/20151212160512/https://info.internet.org/en>;rel="memento"; datetime="Sat, 12 Dec 2015 16:05:12 GMT"
,<http://web.archive.org/web/20151212160513/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 12 Dec 2015 16:05:13 GMT"
,<http://web.archive.org/web/20151212160520/http://info.internet.org/en>;rel="memento"; datetime="Sat, 12 Dec 2015 16:05:20 GMT"
,<http://web.archive.org/web/20151212173313/https://info.internet.org/en>;rel="memento"; datetime="Sat, 12 Dec 2015 17:33:13 GMT"
,<http://web.archive.org/web/20151212173314/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 12 Dec 2015 17:33:14 GMT"
,<http://web.archive.org/web/20151212173321/http://info.internet.org/en>;rel="memento"; datetime="Sat, 12 Dec 2015 17:33:21 GMT"
,<http://web.archive.org/web/20151213051245/https://info.internet.org/en>;rel="memento"; datetime="Sun, 13 Dec 2015 05:12:45 GMT"
,<http://web.archive.org/web/20151213051247/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 13 Dec 2015 05:12:47 GMT"
,<http://web.archive.org/web/20151213060407/https://info.internet.org/en>;rel="memento"; datetime="Sun, 13 Dec 2015 06:04:07 GMT"
,<http://web.archive.org/web/20151213060408/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 13 Dec 2015 06:04:08 GMT"
,<http://web.archive.org/web/20151213060414/http://info.internet.org/en>;rel="memento"; datetime="Sun, 13 Dec 2015 06:04:14 GMT"
,<http://web.archive.org/web/20151213084107/https://info.internet.org/en>;rel="memento"; datetime="Sun, 13 Dec 2015 08:41:07 GMT"
,<http://web.archive.org/web/20151213084108/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 13 Dec 2015 08:41:08 GMT"
,<http://web.archive.org/web/20151213084114/http://info.internet.org/en>;rel="memento"; datetime="Sun, 13 Dec 2015 08:41:14 GMT"
,<http://web.archive.org/web/20151213191914/https://info.internet.org/en>;rel="memento"; datetime="Sun, 13 Dec 2015 19:19:14 GMT"
,<http://web.archive.org/web/20151213191915/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 13 Dec 2015 19:19:15 GMT"
,<http://web.archive.org/web/20151213191922/http://info.internet.org/en>;rel="memento"; datetime="Sun, 13 Dec 2015 19:19:22 GMT"
,<http://web.archive.org/web/20151213214623/https://info.internet.org/en>;rel="memento"; datetime="Sun, 13 Dec 2015 21:46:23 GMT"
,<http://web.archive.org/web/20151213214624/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 13 Dec 2015 21:46:24 GMT"
,<http://web.archive.org/web/20151213214631/http://info.internet.org/en>;rel="memento"; datetime="Sun, 13 Dec 2015 21:46:31 GMT"
,<http://web.archive.org/web/20151214211127/https://info.internet.org/en>;rel="memento"; datetime="Mon, 14 Dec 2015 21:11:27 GMT"
,<http://web.archive.org/web/20151214211128/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 14 Dec 2015 21:11:28 GMT"
,<http://web.archive.org/web/20151214211134/http://info.internet.org/en>;rel="memento"; datetime="Mon, 14 Dec 2015 21:11:34 GMT"
,<http://web.archive.org/web/20151214231827/https://info.internet.org/en>;rel="memento"; datetime="Mon, 14 Dec 2015 23:18:27 GMT"
,<http://web.archive.org/web/20151215235814/https://info.internet.org/en>;rel="memento"; datetime="Tue, 15 Dec 2015 23:58:14 GMT"
,<http://web.archive.org/web/20151215235815/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 15 Dec 2015 23:58:15 GMT"
,<http://web.archive.org/web/20151215235821/http://info.internet.org/en>;rel="memento"; datetime="Tue, 15 Dec 2015 23:58:21 GMT"
,<http://web.archive.org/web/20151217010641/https://info.internet.org/en>;rel="memento"; datetime="Thu, 17 Dec 2015 01:06:41 GMT"
,<http://web.archive.org/web/20151217010642/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 17 Dec 2015 01:06:42 GMT"
,<http://web.archive.org/web/20151217010648/http://info.internet.org/en>;rel="memento"; datetime="Thu, 17 Dec 2015 01:06:48 GMT"
,<http://web.archive.org/web/20151217025306/https://info.internet.org/en>;rel="memento"; datetime="Thu, 17 Dec 2015 02:53:06 GMT"
,<http://web.archive.org/web/20151217025307/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 17 Dec 2015 02:53:07 GMT"
,<http://web.archive.org/web/20151217025313/http://info.internet.org/en>;rel="memento"; datetime="Thu, 17 Dec 2015 02:53:13 GMT"
,<http://web.archive.org/web/20151217032523/https://info.internet.org/en>;rel="memento"; datetime="Thu, 17 Dec 2015 03:25:23 GMT"
,<http://web.archive.org/web/20151217032524/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 17 Dec 2015 03:25:24 GMT"
,<http://web.archive.org/web/20151217093241/https://info.internet.org/en>;rel="memento"; datetime="Thu, 17 Dec 2015 09:32:41 GMT"
,<http://web.archive.org/web/20151217093243/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 17 Dec 2015 09:32:43 GMT"
,<http://web.archive.org/web/20151217093304/http://info.internet.org/en>;rel="memento"; datetime="Thu, 17 Dec 2015 09:33:04 GMT"
,<http://web.archive.org/web/20151218012041/https://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 01:20:41 GMT"
,<http://web.archive.org/web/20151218012042/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 18 Dec 2015 01:20:42 GMT"
,<http://web.archive.org/web/20151218012050/http://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 01:20:50 GMT"
,<http://web.archive.org/web/20151218062001/https://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 06:20:01 GMT"
,<http://web.archive.org/web/20151218062002/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 18 Dec 2015 06:20:02 GMT"
,<http://web.archive.org/web/20151218062008/http://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 06:20:08 GMT"
,<http://web.archive.org/web/20151218090405/https://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 09:04:05 GMT"
,<http://web.archive.org/web/20151218090407/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 18 Dec 2015 09:04:07 GMT"
,<http://web.archive.org/web/20151218090510/http://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 09:05:10 GMT"
,<http://web.archive.org/web/20151218121032/https://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 12:10:32 GMT"
,<http://web.archive.org/web/20151218121034/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 18 Dec 2015 12:10:34 GMT"
,<http://web.archive.org/web/20151218121052/http://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 12:10:52 GMT"
,<http://web.archive.org/web/20151218184705/https://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 18:47:05 GMT"
,<http://web.archive.org/web/20151218184706/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 18 Dec 2015 18:47:06 GMT"
,<http://web.archive.org/web/20151218184712/http://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 18:47:12 GMT"
,<http://web.archive.org/web/20151218201957/https://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 20:19:57 GMT"
,<http://web.archive.org/web/20151218201958/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 18 Dec 2015 20:19:58 GMT"
,<http://web.archive.org/web/20151218202005/http://info.internet.org/en>;rel="memento"; datetime="Fri, 18 Dec 2015 20:20:05 GMT"
,<http://web.archive.org/web/20151219001038/https://info.internet.org/en>;rel="memento"; datetime="Sat, 19 Dec 2015 00:10:38 GMT"
,<http://web.archive.org/web/20151219001042/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 19 Dec 2015 00:10:42 GMT"
,<http://web.archive.org/web/20151219055101/https://info.internet.org/en>;rel="memento"; datetime="Sat, 19 Dec 2015 05:51:01 GMT"
,<http://web.archive.org/web/20151219055102/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 19 Dec 2015 05:51:02 GMT"
,<http://web.archive.org/web/20151219055108/http://info.internet.org/en>;rel="memento"; datetime="Sat, 19 Dec 2015 05:51:08 GMT"
,<http://web.archive.org/web/20151219204928/https://info.internet.org/en>;rel="memento"; datetime="Sat, 19 Dec 2015 20:49:28 GMT"
,<http://web.archive.org/web/20151219204929/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 19 Dec 2015 20:49:29 GMT"
,<http://web.archive.org/web/20151219204935/http://info.internet.org/en>;rel="memento"; datetime="Sat, 19 Dec 2015 20:49:35 GMT"
,<http://web.archive.org/web/20151220070141/https://info.internet.org/en>;rel="memento"; datetime="Sun, 20 Dec 2015 07:01:41 GMT"
,<http://web.archive.org/web/20151220070142/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 20 Dec 2015 07:01:42 GMT"
,<http://web.archive.org/web/20151220075356/https://info.internet.org/en>;rel="memento"; datetime="Sun, 20 Dec 2015 07:53:56 GMT"
,<http://web.archive.org/web/20151220075358/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 20 Dec 2015 07:53:58 GMT"
,<http://web.archive.org/web/20151220075404/http://info.internet.org/en>;rel="memento"; datetime="Sun, 20 Dec 2015 07:54:04 GMT"
,<http://web.archive.org/web/20151220092440/https://info.internet.org/en>;rel="memento"; datetime="Sun, 20 Dec 2015 09:24:40 GMT"
,<http://web.archive.org/web/20151220092444/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 20 Dec 2015 09:24:44 GMT"
,<http://web.archive.org/web/20151220092459/http://info.internet.org/en>;rel="memento"; datetime="Sun, 20 Dec 2015 09:24:59 GMT"
,<http://web.archive.org/web/20151221001859/https://info.internet.org/en>;rel="memento"; datetime="Mon, 21 Dec 2015 00:18:59 GMT"
,<http://web.archive.org/web/20151221001900/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 21 Dec 2015 00:19:00 GMT"
,<http://web.archive.org/web/20151221001907/http://info.internet.org/en>;rel="memento"; datetime="Mon, 21 Dec 2015 00:19:07 GMT"
,<http://web.archive.org/web/20151221095106/https://info.internet.org/en>;rel="memento"; datetime="Mon, 21 Dec 2015 09:51:06 GMT"
,<http://web.archive.org/web/20151221095107/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 21 Dec 2015 09:51:07 GMT"
,<http://web.archive.org/web/20151221095113/http://info.internet.org/en>;rel="memento"; datetime="Mon, 21 Dec 2015 09:51:13 GMT"
,<http://web.archive.org/web/20151222023359/https://info.internet.org/en>;rel="memento"; datetime="Tue, 22 Dec 2015 02:33:59 GMT"
,<http://web.archive.org/web/20151222023400/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 22 Dec 2015 02:34:00 GMT"
,<http://web.archive.org/web/20151222023406/http://info.internet.org/en>;rel="memento"; datetime="Tue, 22 Dec 2015 02:34:06 GMT"
,<http://web.archive.org/web/20151222113315/https://info.internet.org/en>;rel="memento"; datetime="Tue, 22 Dec 2015 11:33:15 GMT"
,<http://web.archive.org/web/20151222113316/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 22 Dec 2015 11:33:16 GMT"
,<http://web.archive.org/web/20151222113322/http://info.internet.org/en>;rel="memento"; datetime="Tue, 22 Dec 2015 11:33:22 GMT"
,<http://web.archive.org/web/20151223011318/https://info.internet.org/en>;rel="memento"; datetime="Wed, 23 Dec 2015 01:13:18 GMT"
,<http://web.archive.org/web/20151223011319/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 23 Dec 2015 01:13:19 GMT"
,<http://web.archive.org/web/20151223011325/http://info.internet.org/en>;rel="memento"; datetime="Wed, 23 Dec 2015 01:13:25 GMT"
,<http://web.archive.org/web/20151223145418/https://info.internet.org/en>;rel="memento"; datetime="Wed, 23 Dec 2015 14:54:18 GMT"
,<http://web.archive.org/web/20151223145419/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 23 Dec 2015 14:54:19 GMT"
,<http://web.archive.org/web/20151223145425/http://info.internet.org/en>;rel="memento"; datetime="Wed, 23 Dec 2015 14:54:25 GMT"
,<http://web.archive.org/web/20151223153305/https://info.internet.org/en>;rel="memento"; datetime="Wed, 23 Dec 2015 15:33:05 GMT"
,<http://web.archive.org/web/20151223153306/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 23 Dec 2015 15:33:06 GMT"
,<http://web.archive.org/web/20151223153313/http://info.internet.org/en>;rel="memento"; datetime="Wed, 23 Dec 2015 15:33:13 GMT"
,<http://web.archive.org/web/20151223215702/https://info.internet.org/en>;rel="memento"; datetime="Wed, 23 Dec 2015 21:57:02 GMT"
,<http://web.archive.org/web/20151223215743/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 23 Dec 2015 21:57:43 GMT"
,<http://web.archive.org/web/20151224013839/https://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 01:38:39 GMT"
,<http://web.archive.org/web/20151224013840/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 24 Dec 2015 01:38:40 GMT"
,<http://web.archive.org/web/20151224013846/http://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 01:38:46 GMT"
,<http://web.archive.org/web/20151224020938/https://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 02:09:38 GMT"
,<http://web.archive.org/web/20151224020939/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 24 Dec 2015 02:09:39 GMT"
,<http://web.archive.org/web/20151224020946/http://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 02:09:46 GMT"
,<http://web.archive.org/web/20151224024147/https://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 02:41:47 GMT"
,<http://web.archive.org/web/20151224024148/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 24 Dec 2015 02:41:48 GMT"
,<http://web.archive.org/web/20151224024155/http://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 02:41:55 GMT"
,<http://web.archive.org/web/20151224092332/https://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 09:23:32 GMT"
