<https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="original"
, <http://www.webarchive.org.uk:80/wayback/archive/20080620105731/http://youtube.com/watch>;rel="memento"; datetime="Fri, 20 Jun 2008 06:57:31 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080623082420/http://www.youtube.com/watch>;rel="memento"; datetime="Mon, 23 Jun 2008 04:24:20 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080623082423/http://youtube.com/watch>;rel="memento"; datetime="Mon, 23 Jun 2008 04:24:23 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080717004323/http://www.youtube.com/watch>;rel="memento"; datetime="Wed, 16 Jul 2008 20:43:23 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080717004352/http://youtube.com/watch>;rel="memento"; datetime="Wed, 16 Jul 2008 20:43:52 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080819092541/http://www.youtube.com/watch>;rel="memento"; datetime="Tue, 19 Aug 2008 05:25:41 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080909084318/http://www.youtube.com/watch>;rel="memento"; datetime="Tue, 09 Sep 2008 04:43:18 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20090102092331/http://www.youtube.com/watch>;rel="memento"; datetime="Fri, 02 Jan 2009 04:23:31 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20090102092334/http://youtube.com/watch>;rel="memento"; datetime="Fri, 02 Jan 2009 04:23:34 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20090506152309/http://www.youtube.com/watch>;rel="memento"; datetime="Wed, 06 May 2009 11:23:09 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20090624004100/http://www.youtube.com/watch>;rel="memento"; datetime="Tue, 23 Jun 2009 20:41:00 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20100419114814/http://www.youtube.com/watch>;rel="memento"; datetime="Mon, 19 Apr 2010 07:48:14 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20100521221900/http://www.youtube.com/watch>;rel="memento"; datetime="Fri, 21 May 2010 18:19:00 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20100521221901/http://youtube.com/watch>;rel="memento"; datetime="Fri, 21 May 2010 18:19:01 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20100524142308/http://www.youtube.com/watch>;rel="memento"; datetime="Mon, 24 May 2010 10:23:08 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20100619225805/http://www.youtube.com/watch>;rel="memento"; datetime="Sat, 19 Jun 2010 18:58:05 GMT"
, <http://web.archive.org/web/20130905003645/http://youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 04 Sep 2013 20:36:45 GMT"
, <http://web.archive.org/web/20130905080921/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 05 Sep 2013 04:09:21 GMT"
, <http://web.archive.org/web/20130905105513/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 05 Sep 2013 06:55:13 GMT"
, <http://wayback.archive-it.org/all/20130905195631/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 05 Sep 2013 15:56:31 GMT"
, <http://web.archive.org/web/20130905224934/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 05 Sep 2013 18:49:34 GMT"
, <http://wayback.archive-it.org/all/20130906013626/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 05 Sep 2013 21:36:26 GMT"
, <http://wayback.archive-it.org/all/20130906125455/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 06 Sep 2013 08:54:55 GMT"
, <http://wayback.archive-it.org/all/20130907013705/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 06 Sep 2013 21:37:05 GMT"
, <http://web.archive.org/web/20130907060448/http://youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 07 Sep 2013 02:04:48 GMT"
, <http://web.archive.org/web/20130907063046/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 07 Sep 2013 02:30:46 GMT"
, <http://wayback.archive-it.org/all/20130907125422/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 07 Sep 2013 08:54:22 GMT"
, <http://wayback.archive-it.org/all/20130908013632/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 07 Sep 2013 21:36:32 GMT"
, <http://web.archive.org/web/20130909000836/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 08 Sep 2013 20:08:36 GMT"
, <http://wayback.archive-it.org/all/20130913131544/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 13 Sep 2013 09:15:44 GMT"
, <http://wayback.archive-it.org/all/20130914031621/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 13 Sep 2013 23:16:21 GMT"
, <http://wayback.archive-it.org/all/20130914125425/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 14 Sep 2013 08:54:25 GMT"
, <http://web.archive.org/web/20130918050937/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 18 Sep 2013 01:09:37 GMT"
, <http://wayback.archive-it.org/all/20130918144522/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 18 Sep 2013 10:45:22 GMT"
, <http://web.archive.org/web/20131011211341/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 11 Oct 2013 17:13:41 GMT"
, <http://web.archive.org/web/20131022065300/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 22 Oct 2013 02:53:00 GMT"
, <http://web.archive.org/web/20131122042643/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 21 Nov 2013 23:26:43 GMT"
, <http://web.archive.org/web/20131122150337/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 22 Nov 2013 10:03:37 GMT"
, <http://web.archive.org/web/20131122163938/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 22 Nov 2013 11:39:38 GMT"
, <http://web.archive.org/web/20131123131839/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 23 Nov 2013 08:18:39 GMT"
, <http://web.archive.org/web/20131123164638/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 23 Nov 2013 11:46:38 GMT"
, <http://web.archive.org/web/20131124120651/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 24 Nov 2013 07:06:51 GMT"
, <http://web.archive.org/web/20131124151226/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 24 Nov 2013 10:12:26 GMT"
, <http://web.archive.org/web/20131128175308/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 28 Nov 2013 12:53:08 GMT"
, <http://wayback.archive-it.org/all/20131204031719/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 03 Dec 2013 22:17:19 GMT"
, <http://web.archive.org/web/20131205191833/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 05 Dec 2013 14:18:33 GMT"
, <http://wayback.archive-it.org/all/20140105154156/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 05 Jan 2014 10:41:56 GMT"
, <http://web.archive.org/web/20140122074834/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 22 Jan 2014 02:48:34 GMT"
, <http://web.archive.org/web/20140123155750/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 23 Jan 2014 10:57:50 GMT"
, <http://web.archive.org/web/20140124181212/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 24 Jan 2014 13:12:12 GMT"
, <http://web.archive.org/web/20140131174032/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 31 Jan 2014 12:40:32 GMT"
, <http://web.archive.org/web/20140207164829/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 07 Feb 2014 11:48:29 GMT"
, <http://web.archive.org/web/20140208172803/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 08 Feb 2014 12:28:03 GMT"
, <http://web.archive.org/web/20140209190856/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 09 Feb 2014 14:08:56 GMT"
, <http://web.archive.org/web/20140210174820/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 10 Feb 2014 12:48:20 GMT"
, <http://web.archive.org/web/20140210192925/http://youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 10 Feb 2014 14:29:25 GMT"
