<https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="original"
, <http://www.webarchive.org.uk:80/wayback/archive/20080620105731/http://youtube.com/watch>;rel="memento"; datetime="Fri, 20 Jun 2008 06:57:31 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080623082420/http://www.youtube.com/watch>;rel="memento"; datetime="Mon, 23 Jun 2008 04:24:20 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080623082423/http://youtube.com/watch>;rel="memento"; datetime="Mon, 23 Jun 2008 04:24:23 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080717004323/http://www.youtube.com/watch>;rel="memento"; datetime="Wed, 16 Jul 2008 20:43:23 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080717004352/http://youtube.com/watch>;rel="memento"; datetime="Wed, 16 Jul 2008 20:43:52 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080819092541/http://www.youtube.com/watch>;rel="memento"; datetime="Tue, 19 Aug 2008 05:25:41 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20080909084318/http://www.youtube.com/watch>;rel="memento"; datetime="Tue, 09 Sep 2008 04:43:18 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20090102092331/http://www.youtube.com/watch>;rel="memento"; datetime="Fri, 02 Jan 2009 04:23:31 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20090102092334/http://youtube.com/watch>;rel="memento"; datetime="Fri, 02 Jan 2009 04:23:34 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20090506152309/http://www.youtube.com/watch>;rel="memento"; datetime="Wed, 06 May 2009 11:23:09 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20090624004100/http://www.youtube.com/watch>;rel="memento"; datetime="Tue, 23 Jun 2009 20:41:00 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20100419114814/http://www.youtube.com/watch>;rel="memento"; datetime="Mon, 19 Apr 2010 07:48:14 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20100521221900/http://www.youtube.com/watch>;rel="memento"; datetime="Fri, 21 May 2010 18:19:00 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20100521221901/http://youtube.com/watch>;rel="memento"; datetime="Fri, 21 May 2010 18:19:01 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20100524142308/http://www.youtube.com/watch>;rel="memento"; datetime="Mon, 24 May 2010 10:23:08 GMT"
, <http://www.webarchive.org.uk:80/wayback/archive/20100619225805/http://www.youtube.com/watch>;rel="memento"; datetime="Sat, 19 Jun 2010 18:58:05 GMT"
, <http://web.archive.org/web/20140220034700/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Wed, 19 Feb 2014 22:47:00 GMT"
, <http://web.archive.org/web/20140429055508/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Tue, 29 Apr 2014 01:55:08 GMT"
, <http://web.archive.org/web/20140624171726/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Tue, 24 Jun 2014 13:17:26 GMT"
, <http://web.archive.org/web/20140626064143/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Thu, 26 Jun 2014 02:41:43 GMT"
, <http://web.archive.org/web/20140702060001/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Wed, 02 Jul 2014 02:00:01 GMT"
, <http://wayback.archive-it.org/all/20141218050930/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Thu, 18 Dec 2014 00:09:30 GMT"
, <http://wayback.archive-it.org/all/20141218050931/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Thu, 18 Dec 2014 00:09:31 GMT"
, <http://web.archive.org/web/20150103014001/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Fri, 02 Jan 2015 20:40:01 GMT"
, <http://web.archive.org/web/20150805223231/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Wed, 05 Aug 2015 18:32:31 GMT"
, <http://web.archive.org/web/20150818111319/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Tue, 18 Aug 2015 07:13:19 GMT"
, <http://web.archive.org/web/20151104182600/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Wed, 04 Nov 2015 13:26:00 GMT"
, <http://web.archive.org/web/20151104182603/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Wed, 04 Nov 2015 13:26:03 GMT"
, <http://web.archive.org/web/20151106172606/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Fri, 06 Nov 2015 12:26:06 GMT"
, <http://web.archive.org/web/20151106172607/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Fri, 06 Nov 2015 12:26:07 GMT"
, <http://web.archive.org/web/20151106185812/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Fri, 06 Nov 2015 13:58:12 GMT"
, <http://web.archive.org/web/20151107213208/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Sat, 07 Nov 2015 16:32:08 GMT"
, <http://web.archive.org/web/20151107213209/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Sat, 07 Nov 2015 16:32:09 GMT"
, <http://web.archive.org/web/20151109032109/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Sun, 08 Nov 2015 22:21:09 GMT"
, <http://web.archive.org/web/20151109032110/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Sun, 08 Nov 2015 22:21:10 GMT"
, <http://web.archive.org/web/20151110085458/http://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Tue, 10 Nov 2015 03:54:58 GMT"
, <http://web.archive.org/web/20151110085459/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="memento"; datetime="Tue, 10 Nov 2015 03:54:59 GMT"
, <http://web.archive.org/web/20160124173258/https://www.youtube.com/watch?v=WI0mSEzttx8&app=desktop>;rel="memento"; datetime="Sun, 24 Jan 2016 12:32:58 GMT"
 , <http://mementoproxy.cs.odu.edu/aggr/timegate/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="timegate"
 , <http://mementoproxy.cs.odu.edu/aggr/timemap/link/1/https://www.youtube.com/watch?v=WI0mSEzttx8>;rel="self"; type="application/link-format"; from ="Fri, 20 Jun 2008 06:57:31 GMT";until="Sun, 24 Jan 2016 12:32:58 GMT"
