<https://vine.co/v/MtZ2xhIjDPe>;rel="original"
,<http://web.archive.org/web/20140625220016/https://vine.co/v/MtZ2xhIjDPe>;rel="memento first"; datetime="Wed, 25 Jun 2014 22:00:16 GMT"
,<http://web.archive.org/web/20140626194935/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 26 Jun 2014 19:49:35 GMT"
,<http://web.archive.org/web/20140627010419/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 27 Jun 2014 01:04:19 GMT"
,<http://web.archive.org/web/20140627032206/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 27 Jun 2014 03:22:06 GMT"
,<http://web.archive.org/web/20140627172704/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 27 Jun 2014 17:27:04 GMT"
,<http://web.archive.org/web/20140627185047/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 27 Jun 2014 18:50:47 GMT"
,<http://web.archive.org/web/20140628022704/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 28 Jun 2014 02:27:04 GMT"
,<http://web.archive.org/web/20140628042048/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 28 Jun 2014 04:20:48 GMT"
,<http://web.archive.org/web/20140628051027/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 28 Jun 2014 05:10:27 GMT"
,<http://web.archive.org/web/20140628063545/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 28 Jun 2014 06:35:45 GMT"
,<http://web.archive.org/web/20140628094500/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 28 Jun 2014 09:45:00 GMT"
,<http://web.archive.org/web/20140628130842/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 28 Jun 2014 13:08:42 GMT"
,<http://web.archive.org/web/20140629063031/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 29 Jun 2014 06:30:31 GMT"
,<http://web.archive.org/web/20140629100623/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 29 Jun 2014 10:06:23 GMT"
,<http://web.archive.org/web/20140629111518/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 29 Jun 2014 11:15:18 GMT"
,<http://web.archive.org/web/20140629190120/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 29 Jun 2014 19:01:20 GMT"
,<http://web.archive.org/web/20140630052641/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 30 Jun 2014 05:26:41 GMT"
,<http://web.archive.org/web/20140630072016/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 30 Jun 2014 07:20:16 GMT"
,<http://web.archive.org/web/20140630123157/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 30 Jun 2014 12:31:57 GMT"
,<http://web.archive.org/web/20140630183621/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 30 Jun 2014 18:36:21 GMT"
,<http://web.archive.org/web/20140630215721/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 30 Jun 2014 21:57:21 GMT"
,<http://web.archive.org/web/20140701013834/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 01 Jul 2014 01:38:34 GMT"
,<http://web.archive.org/web/20140701073533/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 01 Jul 2014 07:35:33 GMT"
,<http://web.archive.org/web/20140701113403/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 01 Jul 2014 11:34:03 GMT"
,<http://web.archive.org/web/20140701181541/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 01 Jul 2014 18:15:41 GMT"
,<http://web.archive.org/web/20140702012832/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Wed, 02 Jul 2014 01:28:32 GMT"
,<http://web.archive.org/web/20140702080940/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Wed, 02 Jul 2014 08:09:40 GMT"
,<http://web.archive.org/web/20140703035616/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 03 Jul 2014 03:56:16 GMT"
,<http://web.archive.org/web/20140703070802/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 03 Jul 2014 07:08:02 GMT"
,<http://web.archive.org/web/20140703093438/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 03 Jul 2014 09:34:38 GMT"
,<http://web.archive.org/web/20140704011843/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 04 Jul 2014 01:18:43 GMT"
