<http://line.me/en/>;rel="original"
,<http://web.archive.org/web/20131216103023/http://line.me/en>;rel="memento first"; datetime="Mon, 16 Dec 2013 10:30:23 GMT"
,<http://web.archive.org/web/20131216103025/http://line.me/en/>;rel="memento"; datetime="Mon, 16 Dec 2013 10:30:25 GMT"
,<http://web.archive.org/web/20131216130206/http://line.me/en>;rel="memento"; datetime="Mon, 16 Dec 2013 13:02:06 GMT"
,<http://web.archive.org/web/20131216130207/http://line.me/en/>;rel="memento"; datetime="Mon, 16 Dec 2013 13:02:07 GMT"
,<http://web.archive.org/web/20131216131209/http://line.me/en>;rel="memento"; datetime="Mon, 16 Dec 2013 13:12:09 GMT"
,<http://web.archive.org/web/20131216131210/http://line.me/en/>;rel="memento"; datetime="Mon, 16 Dec 2013 13:12:10 GMT"
,<http://web.archive.org/web/20131217113624/http://line.me/en>;rel="memento"; datetime="Tue, 17 Dec 2013 11:36:24 GMT"
,<http://web.archive.org/web/20131217113626/http://line.me/en/>;rel="memento"; datetime="Tue, 17 Dec 2013 11:36:26 GMT"
,<http://web.archive.org/web/20131217122017/http://line.me/en>;rel="memento"; datetime="Tue, 17 Dec 2013 12:20:17 GMT"
,<http://web.archive.org/web/20131217122019/http://line.me/en/>;rel="memento"; datetime="Tue, 17 Dec 2013 12:20:19 GMT"
,<http://web.archive.org/web/20131217150126/http://line.me/en>;rel="memento"; datetime="Tue, 17 Dec 2013 15:01:26 GMT"
,<http://web.archive.org/web/20131217150129/http://line.me/en/>;rel="memento"; datetime="Tue, 17 Dec 2013 15:01:29 GMT"
,<http://web.archive.org/web/20131218114607/http://line.me/en/>;rel="memento"; datetime="Wed, 18 Dec 2013 11:46:07 GMT"
,<http://web.archive.org/web/20131218114643/http://line.me/en/>;rel="memento"; datetime="Wed, 18 Dec 2013 11:46:43 GMT"
,<http://web.archive.org/web/20131218123036/http://line.me/en>;rel="memento"; datetime="Wed, 18 Dec 2013 12:30:36 GMT"
,<http://web.archive.org/web/20131218123038/http://line.me/en/>;rel="memento"; datetime="Wed, 18 Dec 2013 12:30:38 GMT"
,<http://web.archive.org/web/20131218164641/http://line.me/en>;rel="memento"; datetime="Wed, 18 Dec 2013 16:46:41 GMT"
,<http://web.archive.org/web/20131218164643/http://line.me/en/>;rel="memento"; datetime="Wed, 18 Dec 2013 16:46:43 GMT"
,<http://web.archive.org/web/20131218171811/http://line.me/en>;rel="memento"; datetime="Wed, 18 Dec 2013 17:18:11 GMT"
,<http://web.archive.org/web/20131218171812/http://line.me/en/>;rel="memento"; datetime="Wed, 18 Dec 2013 17:18:12 GMT"
,<http://web.archive.org/web/20131218233328/http://line.me/en>;rel="memento"; datetime="Wed, 18 Dec 2013 23:33:28 GMT"
,<http://web.archive.org/web/20131218233329/http://line.me/en/>;rel="memento"; datetime="Wed, 18 Dec 2013 23:33:29 GMT"
,<http://web.archive.org/web/20131219094428/http://line.me/en/>;rel="memento"; datetime="Thu, 19 Dec 2013 09:44:28 GMT"
,<http://web.archive.org/web/20131219105256/http://line.me/en/?>;rel="memento"; datetime="Thu, 19 Dec 2013 10:52:56 GMT"
,<http://web.archive.org/web/20131219125142/http://line.me/en/>;rel="memento"; datetime="Thu, 19 Dec 2013 12:51:42 GMT"
,<http://web.archive.org/web/20131219152210/http://line.me/en>;rel="memento"; datetime="Thu, 19 Dec 2013 15:22:10 GMT"
,<http://web.archive.org/web/20131219152211/http://line.me/en/>;rel="memento"; datetime="Thu, 19 Dec 2013 15:22:11 GMT"
