<https://www.mangabox.me/>;rel="original"
,<http://web.archive.org/web/20131205032124/https://www.mangabox.me/>;rel="memento first"; datetime="Thu, 05 Dec 2013 03:21:24 GMT"
,<http://web.archive.org/web/20131207070346/http://mangabox.me/>;rel="memento"; datetime="Sat, 07 Dec 2013 07:03:46 GMT"
,<http://web.archive.org/web/20131213214130/http://www.mangabox.me/>;rel="memento"; datetime="Fri, 13 Dec 2013 21:41:30 GMT"
,<http://web.archive.org/web/20131231084931/https://www.mangabox.me/>;rel="memento"; datetime="Tue, 31 Dec 2013 08:49:31 GMT"
,<http://web.archive.org/web/20140111201541/http://mangabox.me/>;rel="memento"; datetime="Sat, 11 Jan 2014 20:15:41 GMT"
,<http://web.archive.org/web/20140122190755/http://www.mangabox.me/>;rel="memento"; datetime="Wed, 22 Jan 2014 19:07:55 GMT"
,<http://web.archive.org/web/20140122190759/https://www.mangabox.me/>;rel="memento"; datetime="Wed, 22 Jan 2014 19:07:59 GMT"
,<http://web.archive.org/web/20140207233318/http://mangabox.me/>;rel="memento"; datetime="Fri, 07 Feb 2014 23:33:18 GMT"
,<http://web.archive.org/web/20140208042041/https://www.mangabox.me/>;rel="memento"; datetime="Sat, 08 Feb 2014 04:20:41 GMT"
,<http://web.archive.org/web/20140212140954/http://mangabox.me/>;rel="memento"; datetime="Wed, 12 Feb 2014 14:09:54 GMT"
,<http://web.archive.org/web/20140301102851/https://www.mangabox.me/>;rel="memento"; datetime="Sat, 01 Mar 2014 10:28:51 GMT"
,<http://web.archive.org/web/20140517183229/http://mangabox.me/>;rel="memento"; datetime="Sat, 17 May 2014 18:32:29 GMT"
,<http://web.archive.org/web/20140625035622/http://mangabox.me/>;rel="memento"; datetime="Wed, 25 Jun 2014 03:56:22 GMT"
,<http://web.archive.org/web/20140625095546/https://www.mangabox.me/>;rel="memento"; datetime="Wed, 25 Jun 2014 09:55:46 GMT"
,<http://web.archive.org/web/20140705145244/http://mangabox.me/>;rel="memento"; datetime="Sat, 05 Jul 2014 14:52:44 GMT"
,<http://web.archive.org/web/20140707110049/http://www.mangabox.me/>;rel="memento"; datetime="Mon, 07 Jul 2014 11:00:49 GMT"
,<http://web.archive.org/web/20140719150050/https://www.mangabox.me/>;rel="memento"; datetime="Sat, 19 Jul 2014 15:00:50 GMT"
,<http://web.archive.org/web/20140902051129/https://www.mangabox.me/>;rel="memento"; datetime="Tue, 02 Sep 2014 05:11:29 GMT"
,<http://web.archive.org/web/20141008003350/https://www.mangabox.me/>;rel="memento"; datetime="Wed, 08 Oct 2014 00:33:50 GMT"
,<http://web.archive.org/web/20141022135710/http://www.mangabox.me/>;rel="memento"; datetime="Wed, 22 Oct 2014 13:57:10 GMT"
,<http://web.archive.org/web/20141119044624/https://www.mangabox.me/>;rel="memento"; datetime="Wed, 19 Nov 2014 04:46:24 GMT"
,<http://web.archive.org/web/20141217135520/http://mangabox.me/>;rel="memento"; datetime="Wed, 17 Dec 2014 13:55:20 GMT"
,<http://web.archive.org/web/20141220073425/https://www.mangabox.me/>;rel="memento"; datetime="Sat, 20 Dec 2014 07:34:25 GMT"
,<http://web.archive.org/web/20141220142718/https://www.mangabox.me/>;rel="memento"; datetime="Sat, 20 Dec 2014 14:27:18 GMT"
,<http://web.archive.org/web/20150107185426/https://www.mangabox.me/>;rel="memento"; datetime="Wed, 07 Jan 2015 18:54:26 GMT"
,<http://web.archive.org/web/20150124231940/https://www.mangabox.me/>;rel="memento"; datetime="Sat, 24 Jan 2015 23:19:40 GMT"
,<http://web.archive.org/web/20150125102621/https://www.mangabox.me/>;rel="memento"; datetime="Sun, 25 Jan 2015 10:26:21 GMT"
,<http://web.archive.org/web/20150205230750/http://mangabox.me/>;rel="memento"; datetime="Thu, 05 Feb 2015 23:07:50 GMT"
,<http://web.archive.org/web/20150206235941/http://mangabox.me/>;rel="memento"; datetime="Fri, 06 Feb 2015 23:59:41 GMT"
,<http://web.archive.org/web/20150208155800/https://www.mangabox.me/>;rel="memento"; datetime="Sun, 08 Feb 2015 15:58:00 GMT"
,<http://web.archive.org/web/20150218141436/https://www.mangabox.me/>;rel="memento"; datetime="Wed, 18 Feb 2015 14:14:36 GMT"
,<http://web.archive.org/web/20150224213124/http://mangabox.me/>;rel="memento"; datetime="Tue, 24 Feb 2015 21:31:24 GMT"
,<http://web.archive.org/web/20150314191326/http://mangabox.me/>;rel="memento"; datetime="Sat, 14 Mar 2015 19:13:26 GMT"
,<http://web.archive.org/web/20150314200610/https://www.mangabox.me/>;rel="memento"; datetime="Sat, 14 Mar 2015 20:06:10 GMT"
,<http://web.archive.org/web/20150316193034/https://www.mangabox.me/>;rel="memento"; datetime="Mon, 16 Mar 2015 19:30:34 GMT"
,<http://web.archive.org/web/20150316193822/https://www.mangabox.me/>;rel="memento"; datetime="Mon, 16 Mar 2015 19:38:22 GMT"
,<http://web.archive.org/web/20150316194659/https://www.mangabox.me/>;rel="memento"; datetime="Mon, 16 Mar 2015 19:46:59 GMT"
,<http://web.archive.org/web/20150316194903/https://www.mangabox.me/>;rel="memento"; datetime="Mon, 16 Mar 2015 19:49:03 GMT"
,<http://web.archive.org/web/20150316200116/https://www.mangabox.me/>;rel="memento"; datetime="Mon, 16 Mar 2015 20:01:16 GMT"
,<http://web.archive.org/web/20150318043836/https://www.mangabox.me/>;rel="memento"; datetime="Wed, 18 Mar 2015 04:38:36 GMT"
,<http://web.archive.org/web/20150318195235/http://mangabox.me/>;rel="memento"; datetime="Wed, 18 Mar 2015 19:52:35 GMT"
,<http://web.archive.org/web/20150327083829/http://mangabox.me/>;rel="memento"; datetime="Fri, 27 Mar 2015 08:38:29 GMT"
,<http://web.archive.org/web/20150427035558/http://mangabox.me/>;rel="memento"; datetime="Mon, 27 Apr 2015 03:55:58 GMT"
,<http://web.archive.org/web/20150509063025/https://www.mangabox.me/>;rel="memento"; datetime="Sat, 09 May 2015 06:30:25 GMT"
,<http://web.archive.org/web/20150511163410/https://www.mangabox.me/>;rel="memento"; datetime="Mon, 11 May 2015 16:34:10 GMT"
,<http://web.archive.org/web/20150518230356/http://www.mangabox.me/>;rel="memento"; datetime="Mon, 18 May 2015 23:03:56 GMT"
