<http://www.tweetjukebox.com/>;rel="original"
, <http://web.archive.org/web/20140813181717/http://tweetjukebox.com/>;rel="memento"; datetime="Wed, 13 Aug 2014 14:17:17 GMT"
, <http://web.archive.org/web/20140828113350/http://www.tweetjukebox.com/>;rel="memento"; datetime="Thu, 28 Aug 2014 07:33:50 GMT"
, <http://web.archive.org/web/20141013171545/http://www.tweetjukebox.com/>;rel="memento"; datetime="Mon, 13 Oct 2014 13:15:45 GMT"
, <http://web.archive.org/web/20141218082243/http://tweetjukebox.com/>;rel="memento"; datetime="Thu, 18 Dec 2014 03:22:43 GMT"
, <http://web.archive.org/web/20141222084924/http://www.tweetjukebox.com/>;rel="memento"; datetime="Mon, 22 Dec 2014 03:49:24 GMT"
, <http://web.archive.org/web/20141228071101/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sun, 28 Dec 2014 02:11:01 GMT"
, <http://web.archive.org/web/20150208065222/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sun, 08 Feb 2015 01:52:22 GMT"
, <http://web.archive.org/web/20150221112722/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sat, 21 Feb 2015 06:27:22 GMT"
, <http://web.archive.org/web/20150302170202/http://www.tweetjukebox.com/>;rel="memento"; datetime="Mon, 02 Mar 2015 12:02:02 GMT"
, <http://web.archive.org/web/20150309030116/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sun, 08 Mar 2015 23:01:16 GMT"
, <http://web.archive.org/web/20150314191515/http://tweetjukebox.com/>;rel="memento"; datetime="Sat, 14 Mar 2015 15:15:15 GMT"
, <http://web.archive.org/web/20150314235608/http://tweetjukebox.com/>;rel="memento"; datetime="Sat, 14 Mar 2015 19:56:08 GMT"
, <http://web.archive.org/web/20150315002141/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sat, 14 Mar 2015 20:21:41 GMT"
, <http://web.archive.org/web/20150315061511/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sun, 15 Mar 2015 02:15:11 GMT"
, <http://web.archive.org/web/20150329101104/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sun, 29 Mar 2015 06:11:04 GMT"
, <http://wayback.archive-it.org/all/20150330051858/http://tweetjukebox.com/>;rel="memento"; datetime="Mon, 30 Mar 2015 01:18:58 GMT"
, <http://web.archive.org/web/20150403114349/http://tweetjukebox.com/>;rel="memento"; datetime="Fri, 03 Apr 2015 07:43:49 GMT"
, <http://web.archive.org/web/20150403114351/http://www.tweetjukebox.com/>;rel="memento"; datetime="Fri, 03 Apr 2015 07:43:51 GMT"
, <http://web.archive.org/web/20150405005830/http://tweetjukebox.com/>;rel="memento"; datetime="Sat, 04 Apr 2015 20:58:30 GMT"
, <http://web.archive.org/web/20150405130413/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sun, 05 Apr 2015 09:04:13 GMT"
, <http://web.archive.org/web/20150406101445/http://tweetjukebox.com/>;rel="memento"; datetime="Mon, 06 Apr 2015 06:14:45 GMT"
, <http://web.archive.org/web/20150501120731/http://www.tweetjukebox.com/?>;rel="memento"; datetime="Fri, 01 May 2015 08:07:31 GMT"
, <http://web.archive.org/web/20150502231049/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sat, 02 May 2015 19:10:49 GMT"
, <http://web.archive.org/web/20150507082531/http://www.tweetjukebox.com/>;rel="memento"; datetime="Thu, 07 May 2015 04:25:31 GMT"
, <http://web.archive.org/web/20150511085346/http://www.tweetjukebox.com/>;rel="memento"; datetime="Mon, 11 May 2015 04:53:46 GMT"
, <http://web.archive.org/web/20150515221751/http://www.tweetjukebox.com/>;rel="memento"; datetime="Fri, 15 May 2015 18:17:51 GMT"
, <http://web.archive.org/web/20150627104626/http://tweetjukebox.com/>;rel="memento"; datetime="Sat, 27 Jun 2015 06:46:26 GMT"
, <http://web.archive.org/web/20150627104627/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sat, 27 Jun 2015 06:46:27 GMT"
, <http://web.archive.org/web/20150705034751/http://tweetjukebox.com/>;rel="memento"; datetime="Sat, 04 Jul 2015 23:47:51 GMT"
, <http://web.archive.org/web/20150705034753/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sat, 04 Jul 2015 23:47:53 GMT"
, <http://wayback.archive-it.org/all/20150711173703/http://tweetjukebox.com/>;rel="memento"; datetime="Sat, 11 Jul 2015 13:37:03 GMT"
, <http://wayback.archive-it.org/all/20150711173705/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sat, 11 Jul 2015 13:37:05 GMT"
, <http://web.archive.org/web/20150809072103/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sun, 09 Aug 2015 03:21:03 GMT"
, <http://web.archive.org/web/20150810061033/http://www.tweetjukebox.com/>;rel="memento"; datetime="Mon, 10 Aug 2015 02:10:33 GMT"
, <http://wayback.archive-it.org/all/20150815172406/http://tweetjukebox.com/>;rel="memento"; datetime="Sat, 15 Aug 2015 13:24:06 GMT"
, <http://wayback.archive-it.org/all/20150818003200/http://tweetjukebox.com/>;rel="memento"; datetime="Mon, 17 Aug 2015 20:32:00 GMT"
, <http://web.archive.org/web/20150908024023/http://www.tweetjukebox.com/>;rel="memento"; datetime="Mon, 07 Sep 2015 22:40:23 GMT"
, <http://web.archive.org/web/20150923190058/http://tweetjukebox.com/>;rel="memento"; datetime="Wed, 23 Sep 2015 15:00:58 GMT"
, <http://wayback.archive-it.org/all/20151001115341/http://tweetjukebox.com/>;rel="memento"; datetime="Thu, 01 Oct 2015 07:53:41 GMT"
, <http://web.archive.org/web/20151007181606/http://tweetjukebox.com/>;rel="memento"; datetime="Wed, 07 Oct 2015 14:16:06 GMT"
, <http://web.archive.org/web/20151007181607/http://www.tweetjukebox.com/>;rel="memento"; datetime="Wed, 07 Oct 2015 14:16:07 GMT"
, <http://web.archive.org/web/20151026152626/http://tweetjukebox.com/>;rel="memento"; datetime="Mon, 26 Oct 2015 11:26:26 GMT"
, <http://web.archive.org/web/20151026152629/http://www.tweetjukebox.com/>;rel="memento"; datetime="Mon, 26 Oct 2015 11:26:29 GMT"
, <http://wayback.archive-it.org/all/20151026203358/http://tweetjukebox.com/>;rel="memento"; datetime="Mon, 26 Oct 2015 16:33:58 GMT"
, <http://wayback.archive-it.org/all/20151128185657/http://tweetjukebox.com/>;rel="memento"; datetime="Sat, 28 Nov 2015 13:56:57 GMT"
, <http://wayback.archive-it.org/all/20151128185659/http://www.tweetjukebox.com/>;rel="memento"; datetime="Sat, 28 Nov 2015 13:56:59 GMT"
, <http://wayback.archive-it.org/all/20151210121252/http://tweetjukebox.com/>;rel="memento"; datetime="Thu, 10 Dec 2015 07:12:52 GMT"
, <http://wayback.archive-it.org/all/20151210121253/http://www.tweetjukebox.com/>;rel="memento"; datetime="Thu, 10 Dec 2015 07:12:53 GMT"
, <http://web.archive.org/web/20160111145900/http://tweetjukebox.com/>;rel="memento"; datetime="Mon, 11 Jan 2016 09:59:00 GMT"
, <http://web.archive.org/web/20160118153357/http://www.tweetjukebox.com/>;rel="memento"; datetime="Mon, 18 Jan 2016 10:33:57 GMT"
, <http://web.archive.org/web/20160126084202/http://www.tweetjukebox.com/>;rel="memento"; datetime="Tue, 26 Jan 2016 03:42:02 GMT"
, <http://web.archive.org/web/20160205232548/http://tweetjukebox.com/>;rel="memento"; datetime="Fri, 05 Feb 2016 18:25:48 GMT"
 , <http://mementoproxy.cs.odu.edu/aggr/timegate/http://www.tweetjukebox.com/>;rel="timegate"
 , <http://mementoproxy.cs.odu.edu/aggr/timemap/link/1/http://www.tweetjukebox.com/>;rel="self"; type="application/link-format"; from ="Wed, 13 Aug 2014 14:17:17 GMT";until="Fri, 05 Feb 2016 18:25:48 GMT"
