<https://www.youtube.com/user/tyleroakley>;rel="original"
, <http://web.archive.org/web/20080223160708/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 23 Feb 2008 11:07:08 GMT"
, <http://web.archive.org/web/20080316064001/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 16 Mar 2008 02:40:01 GMT"
, <http://web.archive.org/web/20080517065422/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 17 May 2008 02:54:22 GMT"
, <http://web.archive.org/web/20080606122803/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 06 Jun 2008 08:28:03 GMT"
, <http://web.archive.org/web/20080612031331/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 11 Jun 2008 23:13:31 GMT"
, <http://web.archive.org/web/20080614160607/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 14 Jun 2008 12:06:07 GMT"
, <http://web.archive.org/web/20080622135447/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 22 Jun 2008 09:54:47 GMT"
, <http://web.archive.org/web/20080627021617/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 26 Jun 2008 22:16:17 GMT"
, <http://web.archive.org/web/20080704062437/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 04 Jul 2008 02:24:37 GMT"
, <http://web.archive.org/web/20080711142108/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 11 Jul 2008 10:21:08 GMT"
, <http://web.archive.org/web/20080721141644/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 21 Jul 2008 10:16:44 GMT"
, <http://web.archive.org/web/20080726031851/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 25 Jul 2008 23:18:51 GMT"
, <http://web.archive.org/web/20081226160615/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 26 Dec 2008 11:06:15 GMT"
, <http://wayback.archive-it.org/all/20090203231428/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 03 Feb 2009 18:14:28 GMT"
, <http://wayback.archive-it.org/all/20090307042946/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 06 Mar 2009 23:29:46 GMT"
, <http://wayback.archive-it.org/all/20090422100528/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 22 Apr 2009 06:05:28 GMT"
, <http://wayback.archive-it.org/all/20090428211521/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 28 Apr 2009 17:15:21 GMT"
, <http://web.archive.org/web/20090504011859/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 03 May 2009 21:18:59 GMT"
, <http://web.archive.org/web/20090610043926/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 10 Jun 2009 00:39:26 GMT"
, <http://web.archive.org/web/20090809051132/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 09 Aug 2009 01:11:32 GMT"
, <http://web.archive.org/web/20090817033757/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 16 Aug 2009 23:37:57 GMT"
, <http://web.archive.org/web/20090922144258/http://www.youtube.com/user/tyleroakley?>;rel="memento"; datetime="Tue, 22 Sep 2009 10:42:58 GMT"
, <http://web.archive.org/web/20091028160504/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 28 Oct 2009 12:05:04 GMT"
, <http://wayback.archive-it.org/all/20091113001411/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 12 Nov 2009 19:14:11 GMT"
, <http://wayback.archive-it.org/all/20091113120434/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 13 Nov 2009 07:04:34 GMT"
, <http://wayback.archive-it.org/all/20091120065337/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 20 Nov 2009 01:53:37 GMT"
, <http://wayback.archive-it.org/all/20091210094449/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 10 Dec 2009 04:44:49 GMT"
, <http://web.archive.org/web/20100212073157/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 12 Feb 2010 02:31:57 GMT"
