<http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="original"
, <http://wayback.archive-it.org/all/20130713152620/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Sat, 13 Jul 2013 11:26:20 GMT"
, <http://web.archive.org/web/20130716034635/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Mon, 15 Jul 2013 23:46:35 GMT"
, <http://web.archive.org/web/20130716040006/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/?>;rel="memento"; datetime="Tue, 16 Jul 2013 00:00:06 GMT"
, <http://web.archive.org/web/20130718021239/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Wed, 17 Jul 2013 22:12:39 GMT"
, <http://web.archive.org/web/20130726104635/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Fri, 26 Jul 2013 06:46:35 GMT"
, <http://web.archive.org/web/20130727174003/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Sat, 27 Jul 2013 13:40:03 GMT"
, <http://web.archive.org/web/20130809022022/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Thu, 08 Aug 2013 22:20:22 GMT"
, <http://web.archive.org/web/20130826171927/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Mon, 26 Aug 2013 13:19:27 GMT"
, <http://web.archive.org/web/20130902062024/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/?>;rel="memento"; datetime="Mon, 02 Sep 2013 02:20:24 GMT"
, <http://web.archive.org/web/20130916120716/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Mon, 16 Sep 2013 08:07:16 GMT"
, <http://web.archive.org/web/20130921055118/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Sat, 21 Sep 2013 01:51:18 GMT"
, <http://web.archive.org/web/20130926205007/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Thu, 26 Sep 2013 16:50:07 GMT"
, <http://web.archive.org/web/20131010083907/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Thu, 10 Oct 2013 04:39:07 GMT"
