<http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="original"
, <http://web.archive.org/web/20140911041500/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Thu, 11 Sep 2014 00:15:00 GMT"
, <http://web.archive.org/web/20140911041514/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Thu, 11 Sep 2014 00:15:14 GMT"
, <http://web.archive.org/web/20140911180903/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Thu, 11 Sep 2014 14:09:03 GMT"
, <http://web.archive.org/web/20140912222935/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Fri, 12 Sep 2014 18:29:35 GMT"
, <http://web.archive.org/web/20140912233616/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron?>;rel="memento"; datetime="Fri, 12 Sep 2014 19:36:16 GMT"
, <http://web.archive.org/web/20140914000057/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Sat, 13 Sep 2014 20:00:57 GMT"
, <http://web.archive.org/web/20140915020929/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Sun, 14 Sep 2014 22:09:29 GMT"
, <http://web.archive.org/web/20140920185949/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Sat, 20 Sep 2014 14:59:49 GMT"
, <http://web.archive.org/web/20140921043700/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Sun, 21 Sep 2014 00:37:00 GMT"
, <http://web.archive.org/web/20140922032325/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Sun, 21 Sep 2014 23:23:25 GMT"
, <http://web.archive.org/web/20140924065034/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Wed, 24 Sep 2014 02:50:34 GMT"
, <http://web.archive.org/web/20141006183702/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Mon, 06 Oct 2014 14:37:02 GMT"
, <http://wayback.archive-it.org/all/20141012204406/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Sun, 12 Oct 2014 16:44:06 GMT"
, <http://web.archive.org/web/20141020150005/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Mon, 20 Oct 2014 11:00:05 GMT"
, <http://web.archive.org/web/20141024103455/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron?>;rel="memento"; datetime="Fri, 24 Oct 2014 06:34:55 GMT"
, <http://wayback.archive-it.org/all/20141106145553/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Thu, 06 Nov 2014 09:55:53 GMT"
, <http://wayback.archive-it.org/all/20141107083006/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Fri, 07 Nov 2014 03:30:06 GMT"
, <http://web.archive.org/web/20141118131352/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Tue, 18 Nov 2014 08:13:52 GMT"
, <http://web.archive.org/web/20141126085510/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron?>;rel="memento"; datetime="Wed, 26 Nov 2014 03:55:10 GMT"
, <http://wayback.archive-it.org/all/20141130170223/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Sun, 30 Nov 2014 12:02:23 GMT"
, <http://wayback.archive-it.org/all/20141213020625/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Fri, 12 Dec 2014 21:06:25 GMT"
, <http://web.archive.org/web/20141219063146/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron>;rel="memento"; datetime="Fri, 19 Dec 2014 01:31:46 GMT"
, <http://web.archive.org/web/20141226170727/http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron?>;rel="memento"; datetime="Fri, 26 Dec 2014 12:07:27 GMT"
