<http://ghal.org/>;rel="original"
, <http://web.archive.org/web/20000618114027/http://www.ghal.org/>;rel="memento"; datetime="Sun, 18 Jun 2000 07:40:27 GMT"
, <http://web.archive.org/web/20000823130611/http://www.ghal.org/>;rel="memento"; datetime="Wed, 23 Aug 2000 09:06:11 GMT"
, <http://web.archive.org/web/20001006065414/http://www.ghal.org/>;rel="memento"; datetime="Fri, 06 Oct 2000 02:54:14 GMT"
, <http://web.archive.org/web/20001202051100/http://www.ghal.org/>;rel="memento"; datetime="Sat, 02 Dec 2000 00:11:00 GMT"
, <http://web.archive.org/web/20010204072700/http://www.ghal.org/>;rel="memento"; datetime="Sun, 04 Feb 2001 02:27:00 GMT"
, <http://web.archive.org/web/20010208151547/http://ghal.org/>;rel="memento"; datetime="Thu, 08 Feb 2001 10:15:47 GMT"
, <http://web.archive.org/web/20010301204752/http://www.ghal.org/>;rel="memento"; datetime="Thu, 01 Mar 2001 15:47:52 GMT"
, <http://web.archive.org/web/20020328043019/http://www.ghal.org/>;rel="memento"; datetime="Wed, 27 Mar 2002 23:30:19 GMT"
, <http://web.archive.org/web/20020524171817/http://www.ghal.org/>;rel="memento"; datetime="Fri, 24 May 2002 13:18:17 GMT"
, <http://web.archive.org/web/20020525234508/http://www.ghal.org/>;rel="memento"; datetime="Sat, 25 May 2002 19:45:08 GMT"
, <http://web.archive.org/web/20020810200705/http://www.ghal.org/>;rel="memento"; datetime="Sat, 10 Aug 2002 16:07:05 GMT"
, <http://web.archive.org/web/20020929051705/http://www.ghal.org/>;rel="memento"; datetime="Sun, 29 Sep 2002 01:17:05 GMT"
, <http://web.archive.org/web/20021017090503/http://www.ghal.org/>;rel="memento"; datetime="Thu, 17 Oct 2002 05:05:03 GMT"
, <http://web.archive.org/web/20021129175340/http://www.ghal.org/>;rel="memento"; datetime="Fri, 29 Nov 2002 12:53:40 GMT"
, <http://web.archive.org/web/20030219065022/http://www.ghal.org/>;rel="memento"; datetime="Wed, 19 Feb 2003 01:50:22 GMT"
, <http://web.archive.org/web/20030405181259/http://www.ghal.org/>;rel="memento"; datetime="Sat, 05 Apr 2003 13:12:59 GMT"
, <http://web.archive.org/web/20030621133614/http://www.ghal.org/>;rel="memento"; datetime="Sat, 21 Jun 2003 09:36:14 GMT"
, <http://web.archive.org/web/20030924215256/http://www.ghal.org/>;rel="memento"; datetime="Wed, 24 Sep 2003 17:52:56 GMT"
, <http://web.archive.org/web/20031006191048/http://www.ghal.org/>;rel="memento"; datetime="Mon, 06 Oct 2003 15:10:48 GMT"
, <http://web.archive.org/web/20031020012245/http://www.ghal.org/>;rel="memento"; datetime="Sun, 19 Oct 2003 21:22:45 GMT"
, <http://web.archive.org/web/20031129181419/http://www.ghal.org/>;rel="memento"; datetime="Sat, 29 Nov 2003 13:14:19 GMT"
, <http://web.archive.org/web/20031201081647/http://www.ghal.org/>;rel="memento"; datetime="Mon, 01 Dec 2003 03:16:47 GMT"
, <http://web.archive.org/web/20040404054504/http://www.ghal.org/>;rel="memento"; datetime="Sun, 04 Apr 2004 00:45:04 GMT"
, <http://web.archive.org/web/20040509192034/http://www.ghal.org/>;rel="memento"; datetime="Sun, 09 May 2004 15:20:34 GMT"
, <http://web.archive.org/web/20040521005559/http://www.ghal.org/>;rel="memento"; datetime="Thu, 20 May 2004 20:55:59 GMT"
, <http://web.archive.org/web/20040524193759/http://www.ghal.org/>;rel="memento"; datetime="Mon, 24 May 2004 15:37:59 GMT"
, <http://web.archive.org/web/20040609154104/http://www.ghal.org/>;rel="memento"; datetime="Wed, 09 Jun 2004 11:41:04 GMT"
, <http://web.archive.org/web/20040726041905/http://www.ghal.org/>;rel="memento"; datetime="Mon, 26 Jul 2004 00:19:05 GMT"
, <http://web.archive.org/web/20040812075552/http://www.ghal.org/>;rel="memento"; datetime="Thu, 12 Aug 2004 03:55:52 GMT"
, <http://web.archive.org/web/20040828144036/http://www.ghal.org/>;rel="memento"; datetime="Sat, 28 Aug 2004 10:40:36 GMT"
, <http://web.archive.org/web/20040925191042/http://www.ghal.org/>;rel="memento"; datetime="Sat, 25 Sep 2004 15:10:42 GMT"
, <http://web.archive.org/web/20041123090644/http://www.ghal.org/>;rel="memento"; datetime="Tue, 23 Nov 2004 04:06:44 GMT"
, <http://web.archive.org/web/20041205111905/http://www.ghal.org/>;rel="memento"; datetime="Sun, 05 Dec 2004 06:19:05 GMT"
, <http://web.archive.org/web/20041231045053/http://www.ghal.org/>;rel="memento"; datetime="Thu, 30 Dec 2004 23:50:53 GMT"
, <http://web.archive.org/web/20050124091401/http://www.ghal.org/>;rel="memento"; datetime="Mon, 24 Jan 2005 04:14:01 GMT"
, <http://web.archive.org/web/20050130133357/http://ghal.org/>;rel="memento"; datetime="Sun, 30 Jan 2005 08:33:57 GMT"
, <http://web.archive.org/web/20050206170633/http://www.ghal.org/>;rel="memento"; datetime="Sun, 06 Feb 2005 12:06:33 GMT"
, <http://web.archive.org/web/20050211025725/http://www.ghal.org/>;rel="memento"; datetime="Thu, 10 Feb 2005 21:57:25 GMT"
, <http://web.archive.org/web/20050309053859/http://www.ghal.org/>;rel="memento"; datetime="Wed, 09 Mar 2005 00:38:59 GMT"
, <http://web.archive.org/web/20050322001933/http://www.ghal.org/>;rel="memento"; datetime="Mon, 21 Mar 2005 19:19:33 GMT"
, <http://web.archive.org/web/20050408134053/http://www.ghal.org/>;rel="memento"; datetime="Fri, 08 Apr 2005 09:40:53 GMT"
, <http://web.archive.org/web/20050720024305/http://www.ghal.org/>;rel="memento"; datetime="Tue, 19 Jul 2005 22:43:05 GMT"
, <http://web.archive.org/web/20050721084550/http://www.ghal.org/>;rel="memento"; datetime="Thu, 21 Jul 2005 04:45:50 GMT"
, <http://web.archive.org/web/20050828191255/http://www.ghal.org/>;rel="memento"; datetime="Sun, 28 Aug 2005 15:12:55 GMT"
, <http://web.archive.org/web/20050909174126/http://www.ghal.org/>;rel="memento"; datetime="Fri, 09 Sep 2005 13:41:26 GMT"
, <http://web.archive.org/web/20050929060723/http://www.ghal.org/>;rel="memento"; datetime="Thu, 29 Sep 2005 02:07:23 GMT"
, <http://web.archive.org/web/20051026122117/http://www.ghal.org/>;rel="memento"; datetime="Wed, 26 Oct 2005 08:21:17 GMT"
, <http://web.archive.org/web/20051222072924/http://www.ghal.org/>;rel="memento"; datetime="Thu, 22 Dec 2005 02:29:24 GMT"
, <http://web.archive.org/web/20051227030255/http://www.ghal.org/>;rel="memento"; datetime="Mon, 26 Dec 2005 22:02:55 GMT"
, <http://web.archive.org/web/20060203043259/http://www.ghal.org/>;rel="memento"; datetime="Thu, 02 Feb 2006 23:32:59 GMT"
, <http://web.archive.org/web/20060208195136/http://ghal.org/>;rel="memento"; datetime="Wed, 08 Feb 2006 14:51:36 GMT"
, <http://web.archive.org/web/20060411030346/http://www.ghal.org/>;rel="memento"; datetime="Mon, 10 Apr 2006 23:03:46 GMT"
, <http://web.archive.org/web/20060414151234/http://www.ghal.org/>;rel="memento"; datetime="Fri, 14 Apr 2006 11:12:34 GMT"
, <http://web.archive.org/web/20060423035224/http://www.ghal.org/>;rel="memento"; datetime="Sat, 22 Apr 2006 23:52:24 GMT"
, <http://web.archive.org/web/20060423035231/http://www.ghal.org/>;rel="memento"; datetime="Sat, 22 Apr 2006 23:52:31 GMT"
, <http://web.archive.org/web/20060423035348/http://www.ghal.org/>;rel="memento"; datetime="Sat, 22 Apr 2006 23:53:48 GMT"
, <http://web.archive.org/web/20060423035356/http://www.ghal.org/>;rel="memento"; datetime="Sat, 22 Apr 2006 23:53:56 GMT"
, <http://web.archive.org/web/20060423134754/http://www.ghal.org/>;rel="memento"; datetime="Sun, 23 Apr 2006 09:47:54 GMT"
, <http://web.archive.org/web/20060701161654/http://www.ghal.org/>;rel="memento"; datetime="Sat, 01 Jul 2006 12:16:54 GMT"
, <http://web.archive.org/web/20060714155537/http://www.ghal.org/>;rel="memento"; datetime="Fri, 14 Jul 2006 11:55:37 GMT"
, <http://web.archive.org/web/20060719222118/http://www.ghal.org/>;rel="memento"; datetime="Wed, 19 Jul 2006 18:21:18 GMT"
, <http://web.archive.org/web/20061029032259/http://www.ghal.org/>;rel="memento"; datetime="Sat, 28 Oct 2006 23:22:59 GMT"
, <http://web.archive.org/web/20070222180432/http://www.ghal.org/>;rel="memento"; datetime="Thu, 22 Feb 2007 13:04:32 GMT"
, <http://web.archive.org/web/20070302125201/http://www.ghal.org/>;rel="memento"; datetime="Fri, 02 Mar 2007 07:52:01 GMT"
, <http://web.archive.org/web/20070403153722/http://www.ghal.org/>;rel="memento"; datetime="Tue, 03 Apr 2007 11:37:22 GMT"
, <http://web.archive.org/web/20070701014712/http://www.ghal.org/>;rel="memento"; datetime="Sat, 30 Jun 2007 21:47:12 GMT"
, <http://web.archive.org/web/20071023075946/http://ghal.org/>;rel="memento"; datetime="Tue, 23 Oct 2007 03:59:46 GMT"
, <http://web.archive.org/web/20071028102254/http://www.ghal.org/>;rel="memento"; datetime="Sun, 28 Oct 2007 06:22:54 GMT"
, <http://web.archive.org/web/20080220233122/http://www.ghal.org/>;rel="memento"; datetime="Wed, 20 Feb 2008 18:31:22 GMT"
, <http://web.archive.org/web/20080309001359/http://ghal.org/>;rel="memento"; datetime="Sat, 08 Mar 2008 19:13:59 GMT"
, <http://web.archive.org/web/20080409105926/http://ghal.org/>;rel="memento"; datetime="Wed, 09 Apr 2008 06:59:26 GMT"
, <http://web.archive.org/web/20080705203844/http://www.ghal.org/>;rel="memento"; datetime="Sat, 05 Jul 2008 16:38:44 GMT"
, <http://web.archive.org/web/20080804142625/http://www.ghal.org/>;rel="memento"; datetime="Mon, 04 Aug 2008 10:26:25 GMT"
, <http://web.archive.org/web/20081002094410/http://www.ghal.org/>;rel="memento"; datetime="Thu, 02 Oct 2008 05:44:10 GMT"
, <http://web.archive.org/web/20081107075503/http://www.ghal.org/>;rel="memento"; datetime="Fri, 07 Nov 2008 02:55:03 GMT"
, <http://web.archive.org/web/20090123184130/http://www.ghal.org/>;rel="memento"; datetime="Fri, 23 Jan 2009 13:41:30 GMT"
, <http://web.archive.org/web/20090131232549/http://ghal.org/>;rel="memento"; datetime="Sat, 31 Jan 2009 18:25:49 GMT"
, <http://web.archive.org/web/20090303173804/http://ghal.org/>;rel="memento"; datetime="Tue, 03 Mar 2009 12:38:04 GMT"
, <http://web.archive.org/web/20101029133142/http://ghal.org/>;rel="memento"; datetime="Fri, 29 Oct 2010 09:31:42 GMT"
, <http://web.archive.org/web/20101122195220/http://ghal.org/>;rel="memento"; datetime="Mon, 22 Nov 2010 14:52:20 GMT"
, <http://web.archive.org/web/20101215211329/http://ghal.org/>;rel="memento"; datetime="Wed, 15 Dec 2010 16:13:29 GMT"
, <http://web.archive.org/web/20110224074347/http://ghal.org/>;rel="memento"; datetime="Thu, 24 Feb 2011 02:43:47 GMT"
, <http://web.archive.org/web/20110305032548/http://ghal.org/>;rel="memento"; datetime="Fri, 04 Mar 2011 22:25:48 GMT"
, <http://web.archive.org/web/20110309021853/http://ghal.org/>;rel="memento"; datetime="Tue, 08 Mar 2011 21:18:53 GMT"
, <http://web.archive.org/web/20110318035336/http://ghal.org/>;rel="memento"; datetime="Thu, 17 Mar 2011 23:53:36 GMT"
, <http://web.archive.org/web/20110423145323/http://ghal.org/>;rel="memento"; datetime="Sat, 23 Apr 2011 10:53:23 GMT"
, <http://web.archive.org/web/20110710184048/http://ghal.org/>;rel="memento"; datetime="Sun, 10 Jul 2011 14:40:48 GMT"
, <http://web.archive.org/web/20110807114634/http://www.ghal.org/>;rel="memento"; datetime="Sun, 07 Aug 2011 07:46:34 GMT"
, <http://web.archive.org/web/20111006151507/http://www.ghal.org/>;rel="memento"; datetime="Thu, 06 Oct 2011 11:15:07 GMT"
, <http://web.archive.org/web/20111106062648/http://www.ghal.org/>;rel="memento"; datetime="Sun, 06 Nov 2011 01:26:48 GMT"
, <http://web.archive.org/web/20111124181619/http://ghal.org/>;rel="memento"; datetime="Thu, 24 Nov 2011 13:16:19 GMT"
, <http://web.archive.org/web/20111208020814/http://www.ghal.org/>;rel="memento"; datetime="Wed, 07 Dec 2011 21:08:14 GMT"
, <http://web.archive.org/web/20120229173850/http://ghal.org/>;rel="memento"; datetime="Wed, 29 Feb 2012 12:38:50 GMT"
, <http://web.archive.org/web/20120312023936/http://www.ghal.org/>;rel="memento"; datetime="Sun, 11 Mar 2012 22:39:36 GMT"
, <http://web.archive.org/web/20120418130101/http://www.ghal.org/>;rel="memento"; datetime="Wed, 18 Apr 2012 09:01:01 GMT"
, <http://web.archive.org/web/20120626000749/http://www.ghal.org/>;rel="memento"; datetime="Mon, 25 Jun 2012 20:07:49 GMT"
, <http://web.archive.org/web/20120629032742/http://www.ghal.org/>;rel="memento"; datetime="Thu, 28 Jun 2012 23:27:42 GMT"
, <http://web.archive.org/web/20121119145025/http://www.ghal.org/>;rel="memento"; datetime="Mon, 19 Nov 2012 09:50:25 GMT"
, <http://web.archive.org/web/20130514131029/http://www.ghal.org/>;rel="memento"; datetime="Tue, 14 May 2013 09:10:29 GMT"
, <http://web.archive.org/web/20130612092355/http://ghal.org/>;rel="memento"; datetime="Wed, 12 Jun 2013 05:23:55 GMT"
, <http://web.archive.org/web/20130813162107/http://www.ghal.org/>;rel="memento"; datetime="Tue, 13 Aug 2013 12:21:07 GMT"
, <http://web.archive.org/web/20131207041222/http://www.ghal.org/>;rel="memento"; datetime="Fri, 06 Dec 2013 23:12:22 GMT"
, <http://web.archive.org/web/20131231133307/http://ghal.org/>;rel="memento"; datetime="Tue, 31 Dec 2013 08:33:07 GMT"
, <http://web.archive.org/web/20140322122240/http://www.ghal.org/>;rel="memento"; datetime="Sat, 22 Mar 2014 08:22:40 GMT"
, <http://web.archive.org/web/20140517091619/http://ghal.org/>;rel="memento"; datetime="Sat, 17 May 2014 05:16:19 GMT"
, <http://web.archive.org/web/20140829053432/http://www.ghal.org/>;rel="memento"; datetime="Fri, 29 Aug 2014 01:34:32 GMT"
, <http://web.archive.org/web/20141007041036/http://www.ghal.org/>;rel="memento"; datetime="Tue, 07 Oct 2014 00:10:36 GMT"
, <http://web.archive.org/web/20141009075304/http://www.ghal.org/>;rel="memento"; datetime="Thu, 09 Oct 2014 03:53:04 GMT"
, <http://web.archive.org/web/20141015132332/http://www.ghal.org/>;rel="memento"; datetime="Wed, 15 Oct 2014 09:23:32 GMT"
, <http://web.archive.org/web/20141217035124/http://ghal.org/>;rel="memento"; datetime="Tue, 16 Dec 2014 22:51:24 GMT"
, <http://web.archive.org/web/20150218124322/http://www.ghal.org/>;rel="memento"; datetime="Wed, 18 Feb 2015 07:43:22 GMT"
, <http://web.archive.org/web/20150320132119/http://www.ghal.org/>;rel="memento"; datetime="Fri, 20 Mar 2015 09:21:19 GMT"
, <http://web.archive.org/web/20150801121217/http://ghal.org/>;rel="memento"; datetime="Sat, 01 Aug 2015 08:12:17 GMT"
, <http://web.archive.org/web/20150814034017/http://www.ghal.org/>;rel="memento"; datetime="Thu, 13 Aug 2015 23:40:17 GMT"
, <http://web.archive.org/web/20150905052313/http://ghal.org/>;rel="memento"; datetime="Sat, 05 Sep 2015 01:23:13 GMT"
, <http://web.archive.org/web/20150905055318/http://www.ghal.org/>;rel="memento"; datetime="Sat, 05 Sep 2015 01:53:18 GMT"
, <http://web.archive.org/web/20160109155157/http://ghal.org/>;rel="memento"; datetime="Sat, 09 Jan 2016 10:51:57 GMT"
, <http://web.archive.org/web/20160112073800/http://www.ghal.org/>;rel="memento"; datetime="Tue, 12 Jan 2016 02:38:00 GMT"
 , <http://mementoproxy.cs.odu.edu/aggr/timegate/http://ghal.org/>;rel="timegate"
 , <http://mementoproxy.cs.odu.edu/aggr/timemap/link/1/http://ghal.org/>;rel="self"; type="application/link-format"; from ="Sun, 18 Jun 2000 07:40:27 GMT";until="Tue, 12 Jan 2016 02:38:00 GMT"
