Blog	fit	songwriter	size	needed	saying	nature	crowd	bottom	following	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	worth	era	production	apparently	ended	tomorrow	food	evening	obviously	similar	although	camera	actual	meet	university	key	http	liked	beats	movies	jack	personal	father	fuck	colband	themselves	label	tour	zero	welcome	chart	hair	quickly	excellent	parker	figure	jazz	cast	solo	sonic	questions	nick	meaning	include	g	joe	april	twitter	theme	score	date	data	definitions	padding	twin	act	imagine	relationship	sex	clearly	edition	drum	co	cm	tstyle	cd	moments	kept	minor	hall	en	ep	recorded	genre	gt	download	click	ben	bed	anyway	loud	near	www	language	bowie	audience	field	deluxe	titled	throughout	create	understand	bill	y	excited	per	groove	material	buy	starting	several	apart	classic	melody	smith	fucking	brain	table	series	worked	previous	brought	son	support	voices	awesome	hop	johnny	spring	uk	meant	player	interview	created	inspired	rhythm	happen	british	national	floor	thoughts	rules	instrumental	history	issue	station	sounded	win	remains	stories	features	featured	subject	mouse	human	text	bass	shot	nearly	general	members	recording	fans	matt	limited	onto	hearing	plus	focus	christmas	copy	unfortunately	ideas	college	alt	v	expect	river	van	whether	beauty	result	asked	tune	slightly	films	certain	elements	producer	produced	etc	indie	building	tried	singing	mentioned	coast	overall	orphan	career	effect	pt	due	starts	bar	thank	main	collection	mention	bear	alive	metal	characters	cambria	longer	quick	sessions	stream	acts	review	lack	aren	hip	various	became	women	pure	lead	june	golden	singer	dave	shadow	role	choice	internet	ascii	november	followed	archive	entire	process	length	festival	web	l	electronic	amount	musical	rowband	msonormaltable	peel	non	vocals	america	verse	using	learned	cave	feels	culture	pictures	missing	popular	wave	michael	ryan	tunes	widow	parts	previously	likely	recordings	fantastic	amazing	interest	seven	somehow	journey	round	visit	drummer	among	images	sitting	facebook	source	absolutely	epic	planet	access	despite	saturday	level	featuring	mood	okay	friday	electric	musicians	question	folk	feat	difficult	straight	noshow	episode	possible	possibly	unique	began	team	industry	image	site	content	section	pick	action	archives	information	w	session	synth	funny	recent	link	lyrics	led	lee	doubt	sister	hansi	dr	decade	indeed	entirely	mostly	concert	media	moved	fully	robert	towards	underground	seeing	himself	acoustic	points	shit	digital	effort	reading	margin	totally	guys	drums	spend	giving	pagination	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	events	easily	included	september	added	pm	built	steve	particularly	january	guitarist	example	feature	desire	brilliant	bright	october	large	chicago	magic	wolf	system	listened	listener	ghost	total	south	brothers	certainly	presented	usually	truly	wonderful	damn	noise	perfectly	jeff	immediately	peter	orchestra	dog	changes	dreams	important	chris	compilation	f	february	mid	approach	games	gig	changed	continue	happened	gives	releases	missed	brother	latin	political	birthday	remix	july	piano	mike	present	whose	debut	boston	season	punk	pages	bandcamp	via	soundtrack	major	vocal	kill	society	eventually	forces	character	emotional	guitars	vinyl	begin	title	heaven	event	albums	performances	plays	control	quality	playlist	force	lights	definitely	theatre	normal	ray	parent	particular	youth	dad	dan	loved	lake	soft	venue	success	para	font	december	closer	simply
Flatbasset	7	16	2	1	4	7	6	1	21	6	6	5	3	11	9	8	1	20	48	1	15	22	21	35	10	12	0	2	6	18	2	11	5	1	5	10	5	3	3	0	1	42	2	9	27	4	7	0	6	15	8	2	89	0	4	6	22	7	8	11	23	40	6	4	37	3	1	5	4	20	146	4	110	9	7	0	0	126	7	21	9	4	12	8	9	21	0	0	3	13	7	9	20	0	92	28	23	0	96	51	6	4	25	39	6	0	3	9	8	18	0	6	14	12	15	6	4	19	19	12	3	8	7	11	4	26	14	3	11	21	4	3	5	75	4	9	41	7	6	56	10	20	0	13	52	2	26	4	14	4	20	3	3	26	4	21	15	3	6	8	8	3	3	14	3	8	9	47	1	27	7	23	2	5	8	121	2	4	7	6	25	7	17	8	32	30	9	4	2	3	10	19	35	7	8	1	2	4	0	14	7	11	10	6	54	8	5	16	18	9	6	0	19	3	25	19	7	6	11	3	11	1	7	2	2	4	0	13	7	1	59	3	14	17	14	55	19	6	6	4	29	21	10	53	3	16	7	0	50	0	12	5	0	6	6	14	4	11	4	12	12	10	0	0	0	11	84	15	9	8	6	8	23	5	10	4	7	4	1	25	7	1	6	1	14	0	13	2	7	8	10	5	5	1	3	4	0	2	109	0	13	15	37	21	17	2	4	3	13	4	1	15	9	8	13	0	11	33	0	297	12	3	8	10	3	154	8	6	4	14	22	2	0	11	78	4	14	2	3	36	93	4	6	7	5	0	2	4	3	11	13	4	0	3	7	1	2	11	30	11	12	4	17	6	27	13	1	7	27	26	22	64	0	1	15	2	8	6	10	16	1	0	4	4	7	3	10	3	0	23	2	12	26	10	19	6	17	9	5	8	8	7	10	8	5	14	13	9	2	5	11	25	6	7	3	0	8	8	11	3	4	0	6	13	5	13	4	10	3	7	25	9	6	0	2	5	7	5	12	7	2	7	0	7	4	11	12	13	53	10	3	32	0	13	32	4	50	63	15	6	15	6	5	11	1	3	5	50	3	5	61	5	0	129	0	1100	3	11	4	5	17	31	2	1	12	3	3	17	4	20	7	15	8	1	14	0	0	6	8	11
Riley Haas' blog	6	6	3	0	10	11	0	6	8	19	0	4	5	13	0	0	3	2	1	6	0	0	36	24	53	18	52	2	0	1	0	39	6	1	1	12	1	7	2	0	8	2	14	2	6	10	3	0	10	5	1	6	0	1	1	5	19	1	4	31	7	34	0	2	1	3	13	107	6	2	1	2	15	10	1	0	0	0	6	16	3	2	21	2	8	3	0	0	2	14	2	5	20	0	2	20	25	0	0	2	1	2	32	6	13	0	1	1	2	3	0	0	6	7	23	2	1	3	140	0	12	6	2	0	6	34	4	8	4	5	0	22	0	3	4	4	1	1	9	16	0	2	0	7	163	6	16	7	6	11	7	1	0	3	8	4	72	6	0	2	45	10	7	15	3	13	2	5	0	5	11	23	6	2	13	15	4	4	1	7	15	6	1	0	22	11	5	2	2	8	0	2	36	1	5	5	6	20	29	5	1	6	3	5	5	2	9	5	1	0	44	0	90	4	1	5	19	1	1	7	23	4	3	6	28	9	0	17	8	13	0	2	12	17	12	16	11	10	5	4	18	5	7	2	18	1	13	19	6	0	1	4	1	11	0	4	3	0	5	0	3	4	0	0	0	9	7	0	5	3	3	0	42	6	1	5	8	9	14	2	0	0	21	3	24	3	9	8	15	10	16	0	28	0	0	23	1	1	0	10	31	1	3	1	51	0	8	4	3	18	0	2	3	25	17	2	9	10	0	2	8	10	10	5	144	0	1	2	4	2	31	9	0	1	2	0	1	9	2	0	33	37	3	12	0	0	0	6	11	14	21	6	10	3	10	6	7	0	12	14	5	81	11	2	1	4	0	14	17	6	3	1	0	0	0	16	4	27	0	35	9	0	3	1	9	7	1	4	0	2	9	18	6	5	19	8	4	1	0	3	6	3	2	0	5	16	3	0	8	4	3	43	1	18	9	4	7	3	4	2	26	7	22	0	10	2	30	5	9	2	4	7	11	192	0	22	10	13	6	2	14	1	0	6	0	3	5	27	13	12	5	5	3	120	26	2	0	2	3	27	5	4	4	9	1	26	4	0	0	4	13	3	2	27	12	13	2	17	0	3	0	11	1	3	5	0	11	4	0	1	4	1	3	0	11	0	0	2	5	2
SEM REGRAS	0	0	0	0	1	0	0	3	0	0	0	4	0	0	13	1	0	0	0	0	2	1	0	0	6	0	0	0	1	0	2	0	0	0	4	0	0	0	0	0	0	1	0	4	0	1	1	0	0	0	0	2	2	0	1	0	0	0	1	0	0	0	10	0	0	0	0	11	5	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	9	0	1	15	0	1	0	0	0	0	0	3	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	4	4	0	0	1	0	8	0	2	0	0	0	0	0	0	8	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	7	3	0	0	7	0	2	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	1	0	0	0	3	2	1	10	2	0	10	0	0	0	6	0	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	3	0	3	11	0	0	1	4	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	6	1	9	0	0	0	0	0	0	0	0	0	0	2	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	9	0	0	0	14	2	4	7	0	0	0	0	0	0	13	1	1	0	9	5	2	1	9	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	10	2	0	0	0	0	2	0	0	0	6	0	0	0	9	14	0	0	0	8	0	1	2	2	0	0	16	0	0	2	4	8	0	0	1	0	4	4	0
MTJR RANTS & RAVES ON MUSIC	6	57	457	7	7	28	10	169	41	1	4	27	6	12	9	37	4	64	12	5	566	53	2	28	36	41	2	7	40	4	7	5	10	11	16	3	11	3	19	1	51	17	6	30	33	18	14	152	18	64	52	11	15	9	9	18	22	9	5	25	14	115	84	7	37	3	34	12	29	68	0	313	11	41	4	152	152	20	18	3	8	12	12	349	30	42	0	304	517	23	14	311	19	49	752	183	20	4	19	0	52	10	5	19	13	0	27	21	11	35	285	31	27	33	7	28	12	6	1	20	49	1	9	23	16	64	31	42	7	9	311	54	18	35	20	18	13	62	13	11	25	20	37	8	22	1	20	43	26	5	28	11	33	10	5	47	57	16	5	10	6	14	19	87	16	6	20	30	3	88	13	16	11	62	119	52	50	38	8	3	35	27	1	9	3	25	3	168	18	8	41	41	9	32	36	7	14	6	4	3	32	63	80	20	41	11	4	15	5	25	8	152	26	9	824	11	2	12	4	13	135	21	31	17	26	6	350	10	3	53	7	19	6	4	2	12	174	33	3	40	50	75	65	76	34	41	8	8	2	304	58	21	5	14	23	84	26	3	39	115	7	79	152	152	2	14	97	24	4	23	4	34	25	29	3	7	7	44	40	24	18	156	23	36	2	85	19	48	10	28	8	29	10	4	52	15	11	8	0	10	3	25	21	8	11	7	16	69	19	0	3	45	40	7	65	21	5	13	152	1	9	4	47	43	12	8	14	3	4	15	7	13	8	4	143	17	58	3	20	3	48	26	34	14	17	304	4	24	4	14	13	14	1	9	14	48	11	34	5	22	55	7	7	37	16	9	304	12	7	78	2	6	152	1	110	8	25	159	3	20	16	2022	8	2	8	17	50	12	0	18	64	9	81	43	12	12	21	18	37	73	8	22	46	32	9	4	24	51	22	16	46	14	5	9	28	9	2	51	15	22	14	49	42	33	11	43	10	71	71	25	57	12	31	6	8	8	12	11	8	226	4	13	305	4	5	70	63	42	35	29	32	210	5	12	94	5	0	19	71	28	37	27	12	13	10	10	27	55	70	12	40	40	14	149	22	12	27	16	1	15	25	10	10	199	22	154	53	67	0	37	14	27	31	6	22	305	912	32	15	18
My Name Is Blue Canary	12	1	2	40	39	1	105	3	17	12	0	1	5	11	5	14	3	0	5	3	1	1	4	7	8	3	32	25	6	10	17	1	4	0	47	13	9	0	9	12	19	11	1	0	21	1	8	0	19	8	88	18	8	0	6	16	17	0	20	1	0	45	0	12	2	3	5	2	25	13	7	16	1	6	0	1	0	0	7	7	1	1	19	0	76	1	0	0	9	13	24	4	19	2	0	14	3	0	2	1	1	1	26	19	21	15	1	0	79	0	0	0	8	4	19	2	18	28	1	1	6	11	17	31	0	6	8	0	8	13	8	10	12	28	22	7	3	5	32	0	34	5	0	20	12	4	3	0	17	12	0	4	22	5	5	7	5	2	1	32	6	3	7	7	11	2	2	24	4	78	10	22	4	30	21	38	0	1	9	28	11	1	6	10	11	1	1	0	0	8	0	1	18	1	5	89	15	22	0	5	4	2	1	7	1	9	23	23	19	3	1	0	3	22	1	15	7	17	26	7	3	12	1	13	13	0	0	24	1	1	1	8	3	7	11	2	6	7	4	5	8	3	1	3	1	4	2	6	1	0	9	25	0	20	1	1	0	0	3	5	10	9	0	0	0	4	14	0	17	13	11	2	7	3	31	12	7	7	1	7	3	0	19	4	4	4	11	3	2	5	3	1	16	7	13	11	0	30	2	0	16	15	30	2	14	1	14	5	5	14	6	11	2	18	3	0	5	26	0	3	5	11	11	12	12	1	5	2	1	13	17	6	0	1	3	0	1	68	6	1	56	8	0	4	0	0	15	0	2	26	11	17	1	13	2	1	7	1	12	32	12	2	17	1	5	15	0	47	59	17	9	13	0	0	0	2	0	2	6	2	14	0	10	7	4	15	1	42	1	1	0	20	5	3	9	5	3	3	2	13	6	8	1	14	3	5	1	0	9	4	2	14	7	16	16	12	61	11	10	1	21	1	3	10	1	3	9	4	1	4	18	5	2	2	9	14	7	32	2	2	12	0	1	0	82	0	0	4	13	6	5	2	10	5	0	1	0	5	2	2	13	2	0	37	0	3	9	15	14	12	12	2	4	3	15	9	5	4	2	3	8	21	15	6	1	0	13	2	3	253	9	1	1	118	3	0	0	5	6	3
Web Science and Digital Libraries Research Group	5	0	31	34	19	16	27	11	133	2	0	0	25	6	231	35	354	0	0	44	5	2	94	15	6	8	5	29	5	3	14	7	48	46	4	16	22	294	54	800	6	0	6	2	82	2	0	0	19	35	10	3	28	13	1	10	13	0	93	0	2	0	0	79	6	14	51	145	0	189	196	13	24	133	612	7	0	0	13	5	15	4	10	2	0	129	0	0	12	6	6	5	7	42	0	23	1	124	27	25	9	0	3	0	19	184	170	0	56	46	0	50	7	72	29	8	7	14	47	0	29	2	23	61	5	3	0	35	0	3	46	43	19	50	10	1	101	1	14	0	0	35	55	4	4	13	118	24	0	8	20	71	6	8	10	1	60	27	6	1	13	2	43	43	5	19	4	44	172	0	6	10	49	45	14	15	8	14	4	24	5	38	0	45	22	35	31	1	22	10	3	34	19	3	43	54	0	5	2	14	24	3	16	61	0	63	10	2	72	0	18	0	58	24	6	42	11	8	10	59	103	11	0	24	1	5	0	39	15	102	16	2	36	10	7	0	114	9	174	2	23	39	0	1	4	0	22	10	208	3	20	67	867	30	70	41	0	1111	123	5	24	1	0	0	0	36	0	8	0	310	25	0	0	11	12	30	43	1	160	4	0	0	14	27	21	7	7	32	36	12	0	11	12	22	0	31	70	1	47	86	0	0	0	172	8	8	69	3	2	0	16	1	0	62	1	0	24	3	0	8	40	8	10	36	77	35	78	92	330	26	7	11	341	200	42	285	0	5	52	202	5	12	13	0	1	0	148	7	4	3	17	0	115	24	11	15	14	7	17	4	0	18	0	441	23	21	19	4	2	0	7	14	4	124	0	31	16	1	19	2	0	0	18	46	22	48	34	25	18	32	0	16	22	0	184	24	2	3	4	23	61	9	7	5	147	1	0	1	29	4	1	5	350	9	4	9	1	4	3	2	13	19	0	1	53	1	59	7	1	59	22	2	59	29	0	39	20	7	31	1	17	1	1	12	3	0	38	0	5	72	8	0	5	35	0	206	0	60	1	16	0	1	24	11	0	21	5	0	1	14	58	1	64	0	0	4	46	53	1	6	1	6	0	3	3	5	26	1	1	5	5	2	5	7	17	1	0	14	4	15
Steel City Rust	8	1	8	2	2	1	5	3	5	10	2	0	4	5	4	2	2	5	6	5	0	3	8	9	8	5	14	6	1	3	2	3	11	12	10	6	1	0	10	0	25	2	10	5	5	0	7	0	4	9	4	0	6	0	4	0	2	0	0	1	2	7	2	4	7	3	1	6	6	2	0	3	0	3	0	0	0	2	4	5	1	3	4	2	1	3	0	0	9	2	3	3	1	0	3	7	0	0	0	0	4	1	3	5	8	0	0	3	1	0	1	13	0	2	6	2	9	1	2	1	10	0	2	1	2	25	2	0	5	3	0	15	5	7	3	4	1	15	6	2	5	1	3	2	1	1	4	1	4	5	10	4	0	4	4	8	6	4	10	6	1	2	4	3	4	5	1	6	0	3	13	2	8	1	0	10	11	1	2	1	3	0	7	17	4	1	9	0	1	6	7	2	6	0	13	4	3	4	1	8	2	0	0	0	4	5	2	1	3	4	4	0	4	3	0	4	8	15	6	6	5	3	2	2	5	3	0	6	3	0	0	1	3	5	6	0	2	1	4	1	14	1	6	5	12	0	1	2	2	0	1	3	1	4	0	3	1	0	2	5	2	3	0	0	1	6	11	4	3	8	5	5	11	1	5	3	2	15	0	0	0	0	6	4	6	0	4	2	4	5	13	3	1	4	10	4	1	4	1	3	1	6	3	0	19	3	2	2	4	5	5	6	2	5	4	0	2	4	0	1	5	10	9	11	3	0	4	6	3	2	6	7	0	2	0	4	1	6	3	6	12	5	0	2	3	0	5	2	4	4	3	1	2	3	4	8	4	0	6	3	2	2	4	7	7	12	0	2	6	3	2	2	0	1	6	0	3	4	24	5	9	0	2	3	5	5	1	2	0	6	1	0	2	11	9	2	1	1	3	2	7	1	1	0	4	9	0	3	3	18	6	13	0	1	10	9	6	4	9	1	2	1	1	1	3	2	10	1	1	1	0	1	10	1	0	4	2	12	3	1	3	0	0	0	5	0	1	1	4	5	8	9	1	1	18	2	0	1	1	8	11	1	2	4	2	4	7	3	16	4	9	4	1	11	3	3	6	6	0	3	4	6	0	5	7	0	8	3	0	6	1	7	5	1	3	0	0	1	4	10
MR. BEAUTIFUL TRASH ART	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
ORGANMYTH	0	0	0	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MarkEOrtega's Journalism Portfolio	5	4	0	2	3	0	37	0	7	1	0	1	0	1	0	5	1	0	0	1	0	0	0	12	0	0	0	2	0	2	4	0	0	0	0	1	3	1	1	0	0	3	0	4	1	2	0	0	4	2	16	2	1	0	1	4	2	0	0	0	0	8	3	1	1	1	0	0	0	3	3	0	0	10	0	0	0	0	3	0	0	0	1	0	0	4	0	0	2	3	1	1	1	0	7	1	2	0	0	149	13	0	0	0	4	0	0	1	0	2	0	6	6	0	0	12	1	0	2	1	6	0	1	0	1	1	0	4	0	1	0	4	2	14	5	0	11	0	10	10	0	0	10	4	2	24	1	0	1	1	7	0	0	0	0	0	0	0	0	2	1	1	0	2	14	0	2	0	0	1	0	7	4	2	0	11	9	1	3	0	2	7	0	1	0	1	3	11	3	3	1	2	3	1	1	1	2	2	2	0	0	2	1	0	14	1	3	1	0	10	2	0	2	1	0	6	2	6	1	19	0	0	0	0	0	0	0	1	1	0	0	28	1	0	0	10	0	1	2	1	3	6	0	10	1	3	2	0	0	0	15	1	0	4	1	13	51	0	2	2	5	4	0	0	0	1	4	1	1	0	0	0	2	1	0	1	1	0	1	3	4	0	0	3	1	0	2	0	1	0	4	0	0	0	5	3	0	1	0	3	0	5	1	1	6	32	2	7	4	0	18	0	2	3	3	0	2	2	0	0	0	0	4	8	11	2	1	1	1	1	1	2	0	1	1	0	3	0	0	1	1	3	1	2	1	0	0	2	0	2	1	4	9	5	0	5	2	0	7	3	2	4	2	0	3	1	0	0	1	4	0	3	0	0	0	0	6	10	0	5	1	0	3	3	1	5	3	5	9	2	0	3	4	3	0	3	2	0	7	7	4	1	1	13	0	0	0	0	0	5	3	2	0	3	3	1	2	2	2	1	1	0	0	2	0	1	2	1	1	3	4	4	0	3	10	1	3	2	3	1	1	2	0	0	0	0	1	1	2	0	1	30	0	1	5	0	0	3	0	3	2	1	0	1	0	1	1	2	0	1	0	0	3	4	21	3	1	0	2	0	3	5	52	1	1	0	0	1	0	1	0	2	2	11	4	0	0	5	0	2
